epoch,train_loss,val_loss,train_attribute_loss,val_attribute_loss,val_attribute_macro_f1,train_changeflag_loss,val_changeflag_loss,val_changeflag_f1
1,0.972506155039518,0.8195915975068745,0.7490330324828169,0.6580273336485812,0.14614803804252932,0.44694624329341276,0.32312853477503123,0.9156895589056393
2,0.7550774380450941,0.745375427760576,0.619050849030036,0.6187575922200554,0.16666813724650256,0.27205318064635037,0.25323567853162166,0.9325084364454443
3,0.6696175227638419,0.7075246070560656,0.5708579241319467,0.6006074900689878,0.17937108905849444,0.19751919584192393,0.21383422691571086,0.9442508710801394
4,0.61101558304015,0.6856122820785171,0.5353698305046285,0.5911448111659602,0.18635775484412176,0.15129150236949665,0.18893495162850932,0.9488536155202821
5,0.5647769963923301,0.6775706049643064,0.5046804310711286,0.5853952992903558,0.19391868797173709,0.12019313470894144,0.1843506133085803,0.9509345794392523
6,0.5274344236796139,0.6727616528147146,0.4780030787446117,0.5831366083339641,0.19263993042193783,0.09886268829173259,0.17925008641261803,0.9531615925058547
7,0.488596563575832,0.688118290352194,0.44920189053047704,0.5929690589638132,0.19245275161523626,0.07878934304791553,0.19029846924700236,0.948733058338244
8,0.4547840632100142,0.6864616082687127,0.42376268797248373,0.5924734587928182,0.19581625467532807,0.06204275219551934,0.18797629419714212,0.9501466275659824
9,0.4244173476259217,0.6998807854558292,0.39952298794083924,0.6038009459642988,0.1920068291056045,0.049788720784922136,0.19215966663078257,0.9530516431924883
10,0.3926775030052389,0.7174763978507958,0.37285968388309915,0.6208970951602647,0.19397116372777434,0.03963564087473254,0.1931586229781571,0.9502050380785003
11,0.36304150646879474,0.7154144567290419,0.3481483843945365,0.6165194139864884,0.19428201433447723,0.029786244148516473,0.19779009337684042,0.9513196480938416
12,0.3378458239195001,0.7268951438171299,0.3247030999596792,0.6273498814553022,0.19762305471648592,0.026285448488388354,0.19909051820439727,0.952046783625731
13,0.31057457625865936,0.763873375560108,0.30055759790289494,0.6572689523822383,0.19643089591954097,0.020033956537350215,0.21320887204063566,0.9457547169811321
14,0.28860945681124245,0.7844578951205078,0.28007310185268636,0.677964339277854,0.19415747092964644,0.01707270972516018,0.21298711379303745,0.9501466275659824
15,0.26997264992189773,0.8043033184581682,0.26228564204150484,0.6961238560217776,0.1926838733419581,0.015374017714074891,0.21635893599963502,0.9532710280373832
16,0.2502304208642654,0.8124021126055404,0.2438011217208309,0.7004487576257241,0.19472843956046404,0.012858598642335593,0.2239067103272598,0.9507042253521126
17,0.23425358704483237,0.8512200888638434,0.22858428659329888,0.7392241159257921,0.1887687123831181,0.011338599722917753,0.22399195043468162,0.9471210340775558
18,0.22207189686880766,0.8639062632267412,0.21640995440592292,0.7466036396493253,0.1901661042285967,0.011323885801994732,0.2346052302684831,0.9458186101295641
19,0.20866890308511166,0.8744341776167092,0.20375493293955127,0.7547432701348474,0.1956074189676856,0.00982793943800089,0.23938181170409448,0.9471210340775558
20,0.1997567571073998,0.9034637863208589,0.1952147105040441,0.7833454562841278,0.18925939649320714,0.009084092899232761,0.24023664708396322,0.9458186101295641
21,0.19078909770678018,0.919290855821026,0.1864769752244003,0.798362751050215,0.19087980071584595,0.008624244952318436,0.24185622032535703,0.9452619187757504
22,0.18301303582337067,0.9160648960326063,0.1791012330364635,0.7955173596151566,0.19534861971401551,0.00782360643226625,0.2410950788639878,0.9484173505275498
23,0.1744169788506195,0.9401847344185961,0.17050266174869683,0.8187118899567347,0.18737491026589184,0.007828633713301357,0.24294567740473308,0.9477392836171462
